"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\USER\Documents\flutter projs\home_quest\lib\core\bucket_ids.dart", "Dart", 5, 0, 1, 6
"c:\Users\USER\Documents\flutter projs\home_quest\lib\core\colors.dart", "Dart", 4, 0, 2, 6
"c:\Users\USER\Documents\flutter projs\home_quest\lib\core\coords.dart", "Dart", 1901, 0, 1, 1902
"c:\Users\USER\Documents\flutter projs\home_quest\lib\core\enums.dart", "Dart", 57, 0, 20, 77
"c:\Users\USER\Documents\flutter projs\home_quest\lib\core\exception.dart", "Dart", 6, 0, 0, 6
"c:\Users\USER\Documents\flutter projs\home_quest\lib\core\extensions.dart", "Dart", 50, 0, 13, 63
"c:\Users\USER\Documents\flutter projs\home_quest\lib\core\providers.dart", "Dart", 64, 0, 14, 78
"c:\Users\USER\Documents\flutter projs\home_quest\lib\core\typedefs.dart", "Dart", 55, 0, 6, 61
"c:\Users\USER\Documents\flutter projs\home_quest\lib\core\utils\app_snackbar.dart", "Dart", 14, 0, 2, 16
"c:\Users\USER\Documents\flutter projs\home_quest\lib\core\utils\appwrite_image_upload.dart", "Dart", 24, 0, 3, 27
"c:\Users\USER\Documents\flutter projs\home_quest\lib\core\utils\image_path.dart", "Dart", 21, 2, 5, 28
"c:\Users\USER\Documents\flutter projs\home_quest\lib\core\utils\image_picker_util.dart", "Dart", 21, 0, 4, 25
"c:\Users\USER\Documents\flutter projs\home_quest\lib\core\utils\image_url_util.dart", "Dart", 3, 0, 1, 4
"c:\Users\USER\Documents\flutter projs\home_quest\lib\core\utils\regex.dart", "Dart", 10, 0, 2, 12
"c:\Users\USER\Documents\flutter projs\home_quest\lib\core\utils\safety_tips_text.dart", "Dart", 15, 0, 8, 23
"c:\Users\USER\Documents\flutter projs\home_quest\lib\core\utils\svg_util.dart", "Dart", 11, 0, 2, 13
"c:\Users\USER\Documents\flutter projs\home_quest\lib\core\utils\textstyle.dart", "Dart", 10, 0, 2, 12
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\auth\controller\auth_controller.dart", "Dart", 82, 0, 13, 95
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\auth\repository\auth_repository.dart", "Dart", 88, 0, 9, 97
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\auth\view\auth_screen.dart", "Dart", 190, 2, 8, 200
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\auth\view\forgot_password.dart", "Dart", 120, 0, 5, 125
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\auth\view\home_user_wrapper.dart", "Dart", 95, 0, 5, 100
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\auth\widget\google_bttn.dart", "Dart", 38, 0, 3, 41
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\agent\btm_nav_barA.dart", "Dart", 116, 0, 8, 124
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\agent\dashboard\view\dashboard.dart", "Dart", 176, 0, 6, 182
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\agent\dashboard\widgets\agent_stat_widget.dart", "Dart", 69, 0, 8, 77
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\agent\listings\controller\property_listing_ctrl.dart", "Dart", 63, 0, 10, 73
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\agent\listings\repository\property_listing_repo.dart", "Dart", 191, 69, 32, 292
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\agent\listings\views\add_listings.dart", "Dart", 573, 0, 13, 586
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\agent\listings\views\listings.dart", "Dart", 106, 0, 5, 111
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\agent\listings\views\select_location.dart", "Dart", 238, 0, 16, 254
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\agent\listings\widgets\agent_listing.dart", "Dart", 238, 0, 3, 241
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\agent\listings\widgets\fabs.dart", "Dart", 32, 0, 5, 37
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\agent\listings\widgets\header_widgets.dart", "Dart", 184, 0, 11, 195
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\agent\listings\widgets\images_list_view.dart", "Dart", 116, 0, 5, 121
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\agent\listings\widgets\mapping_hint_widget.dart", "Dart", 36, 0, 4, 40
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\agent\listings\widgets\pictures_text_header.dart", "Dart", 20, 0, 4, 24
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\client\bookmarks\bookmarks.dart", "Dart", 60, 0, 6, 66
"c:\Users\USER\Documents\flutter projs\home_quest\lib\features\btm_nav_bar\client\bookmarks\controllers\bookmark_ctrl.dart", "Dart", 75, 0, 6, 81
